G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2015-10-27,ATL,H,DET,L,94,106,98.6,111.2,95.3,0.183,0.329,0.53,40.4,59.5,9.4,6.0,0.5,14.5,16.3,0.146,0.448,12.3,58.9,0.208,0.0,1.0,1.32,3.53
1,2015-10-27,CHI,H,CLE,W,97,95,97.5,95.5,99.5,0.264,0.218,0.499,48.5,35.1,6.0,15.4,0.466,11.8,15.2,0.184,0.452,9.0,78.4,0.106,1.0,0.0,1.57,2.5
1,2015-10-27,NOP,A,GSW,L,95,111,94.9,110.9,100.1,0.325,0.217,0.501,37.1,60.0,9.0,4.5,0.458,15.9,18.6,0.229,0.474,15.9,54.3,0.208,0.0,1.0,6.19,1.14
1,2015-10-27,CLE,A,CHI,L,95,97,95.5,97.5,99.5,0.181,0.309,0.468,51.5,68.4,5.0,10.3,0.452,9.0,21.6,0.106,0.466,11.8,84.8,0.184,0.0,1.0,2.5,1.57
1,2015-10-27,DET,A,ATL,W,106,94,111.2,98.6,95.3,0.271,0.302,0.493,59.6,62.2,5.2,5.5,0.448,12.3,41.1,0.208,0.5,14.5,83.7,0.146,1.0,0.0,3.53,1.32
1,2015-10-27,GSW,H,NOP,W,111,95,110.9,94.9,100.1,0.229,0.313,0.525,62.9,70.7,8.0,10.8,0.474,15.9,45.7,0.208,0.458,15.9,81.4,0.229,1.0,0.0,1.14,6.19
1,2015-10-28,BRK,H,CHI,L,100,115,101.0,116.1,99.0,0.301,0.097,0.475,53.6,48.7,11.1,10.0,0.419,11.0,32.0,0.237,0.628,18.0,85.3,0.218,0.0,2.0,2.78,1.47
2,2015-10-28,CHI,A,BRK,W,115,100,116.1,101.0,99.0,0.256,0.359,0.662,46.4,47.6,9.1,3.6,0.628,18.0,14.7,0.218,0.419,11.0,68.0,0.237,2.0,0.0,1.47,2.78
1,2015-10-28,UTA,A,DET,L,87,92,96.9,102.4,89.8,0.28,0.16,0.516,46.9,42.9,4.5,9.1,0.48,12.5,10.3,0.2,0.453,10.1,81.0,0.338,0.0,2.0,1.9,1.94
1,2015-10-28,CHO,A,MIA,L,94,104,102.4,113.2,91.8,0.345,0.286,0.486,51.2,48.5,4.4,1.9,0.429,7.6,22.0,0.262,0.575,13.6,94.1,0.274,0.0,1.0,3.26,1.37
2,2015-10-28,CLE,A,MEM,W,106,76,110.8,79.4,95.7,0.202,0.345,0.579,57.4,70.7,7.3,3.0,0.565,17.2,29.3,0.131,0.366,14.9,79.2,0.195,1.0,0.0,2.79,1.47
1,2015-10-28,TOR,H,IND,W,106,99,102.3,95.5,103.6,0.488,0.225,0.545,55.6,52.8,7.7,3.2,0.494,17.1,22.0,0.338,0.424,11.5,83.7,0.302,1.0,0.0,1.46,2.83
1,2015-10-28,DAL,A,PHO,W,111,95,108.9,93.2,102.0,0.365,0.247,0.563,47.5,60.0,6.9,4.8,0.529,7.5,13.0,0.247,0.425,15.1,76.4,0.241,1.0,0.0,3.06,1.4
1,2015-10-28,DEN,A,HOU,W,105,85,108.2,87.6,97.0,0.228,0.342,0.604,52.7,65.0,9.3,19.2,0.589,19.5,23.7,0.152,0.391,14.0,72.7,0.195,1.0,0.0,6.09,1.14
1,2015-10-28,SAS,A,OKC,L,106,112,104.3,110.2,101.6,0.14,0.161,0.537,44.4,48.9,10.8,13.4,0.511,11.6,17.1,0.118,0.529,16.6,72.5,0.244,0.0,1.0,2.59,1.54
2,2015-10-28,DET,H,UTA,W,92,87,102.4,96.9,89.8,0.459,0.257,0.517,53.1,53.3,2.2,6.3,0.453,10.1,19.0,0.338,0.48,12.5,89.7,0.2,2.0,0.0,1.94,1.9
1,2015-10-28,SAC,H,LAC,L,104,111,101.6,108.4,102.4,0.191,0.255,0.51,53.8,58.5,7.8,4.9,0.495,13.6,25.0,0.117,0.563,13.8,86.0,0.263,0.0,1.0,2.98,1.42
1,2015-10-28,HOU,H,DEN,L,85,105,87.6,108.2,97.0,0.299,0.402,0.432,47.3,56.7,13.4,15.4,0.391,14.0,27.3,0.195,0.589,19.5,76.3,0.152,0.0,1.0,1.14,6.09
1,2015-10-28,IND,A,TOR,L,99,106,95.5,102.3,103.6,0.36,0.267,0.497,44.4,71.9,13.5,4.8,0.424,11.5,16.3,0.302,0.494,17.1,78.0,0.338,0.0,1.0,2.83,1.46
1,2015-10-28,POR,H,NOP,W,112,94,111.0,93.1,100.9,0.159,0.364,0.595,56.7,50.0,6.9,6.9,0.568,11.3,15.0,0.136,0.456,10.0,90.0,0.121,1.0,0.0,1.72,2.18
1,2015-10-28,LAC,A,SAC,W,111,104,108.4,101.6,102.4,0.388,0.238,0.593,46.2,47.6,7.8,12.9,0.563,13.8,14.0,0.263,0.495,13.6,75.0,0.117,1.0,0.0,1.42,2.98
1,2015-10-28,LAL,H,MIN,L,111,112,110.9,111.9,100.1,0.389,0.378,0.527,55.2,51.4,2.0,6.3,0.439,11.0,26.7,0.356,0.488,7.5,85.7,0.373,0.0,1.0,1.68,2.25
1,2015-10-28,PHO,H,DAL,L,95,111,93.2,108.9,102.0,0.379,0.276,0.468,52.5,44.1,2.9,4.7,0.425,15.1,23.6,0.241,0.529,7.5,87.0,0.247,0.0,1.0,1.4,3.06
1,2015-10-28,MEM,H,CLE,L,76,106,79.4,110.8,95.7,0.268,0.195,0.414,42.6,51.7,8.4,5.5,0.366,14.9,20.8,0.195,0.565,17.2,70.7,0.131,0.0,1.0,1.47,2.79
1,2015-10-28,MIA,H,CHO,W,104,94,113.2,102.4,91.8,0.288,0.274,0.632,48.8,63.9,5.4,11.7,0.575,13.6,5.9,0.274,0.429,7.6,78.0,0.262,1.0,0.0,1.37,3.26
1,2015-10-28,PHI,A,BOS,L,95,112,95.5,112.6,99.5,0.277,0.265,0.51,52.9,35.3,11.1,9.8,0.452,19.1,31.1,0.241,0.506,14.9,76.2,0.306,0.0,1.0,8.33,1.09
1,2015-10-28,MIL,H,NYK,L,97,122,101.9,128.2,95.2,0.36,0.209,0.487,49.0,56.7,7.4,5.7,0.401,15.3,37.5,0.326,0.5,9.2,60.4,0.312,0.0,1.0,1.48,2.73
1,2015-10-28,MIN,A,LAL,W,112,111,111.9,110.9,100.1,0.446,0.241,0.564,44.8,63.2,3.0,7.1,0.488,7.5,14.3,0.373,0.439,11.0,73.3,0.356,1.0,0.0,2.25,1.68
1,2015-10-28,ORL,H,WAS,L,87,88,90.5,91.6,96.1,0.12,0.26,0.413,53.3,54.1,9.4,10.7,0.395,11.7,33.3,0.08,0.435,15.2,72.2,0.179,0.0,1.0,2.6,1.53
2,2015-10-28,NOP,A,POR,L,94,112,93.1,111.0,100.9,0.198,0.363,0.475,43.3,52.8,6.9,3.6,0.456,10.0,10.0,0.121,0.568,11.3,85.0,0.136,0.0,1.0,2.18,1.72
