G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2019-10-22,LAC,H,LAL,W,112,102,117.5,107.0,95.3,0.296,0.383,0.612,52.3,57.1,8.4,9.6,0.586,13.3,25.6,0.21,0.512,12.9,79.1,0.176,1.0,0.0,2.39,1.61
1,2019-10-22,NOP,A,TOR,L,122,130,108.1,115.2,102.2,0.196,0.441,0.551,48.2,69.8,3.5,14.3,0.515,14.6,28.1,0.167,0.476,11.8,69.8,0.311,0.0,1.0,3.29,1.36
1,2019-10-22,LAL,A,LAC,L,102,112,107.0,117.5,95.3,0.247,0.388,0.541,47.7,54.1,4.2,14.0,0.512,12.9,20.9,0.176,0.586,13.3,74.4,0.21,0.0,1.0,1.61,2.39
1,2019-10-22,TOR,H,NOP,W,130,122,115.2,108.1,102.2,0.369,0.388,0.543,51.8,54.8,6.2,5.3,0.476,11.8,30.2,0.311,0.515,14.6,71.9,0.167,1.0,0.0,1.36,3.29
1,2019-10-23,MIA,H,MEM,W,120,101,107.2,90.2,112.0,0.459,0.212,0.587,56.0,45.0,8.0,14.0,0.512,17.1,26.2,0.388,0.455,19.0,81.6,0.225,1.0,0.0,1.36,3.31
1,2019-10-23,NYK,A,SAS,L,111,120,101.9,110.2,108.9,0.191,0.319,0.545,43.3,54.5,14.7,1.6,0.521,12.1,10.9,0.138,0.548,17.5,77.3,0.349,0.0,1.0,5.56,1.16
1,2019-10-23,WAS,A,DAL,L,100,108,96.4,104.2,103.7,0.194,0.441,0.495,50.5,70.3,5.8,7.5,0.457,14.4,21.2,0.161,0.533,17.3,87.8,0.355,0.0,1.0,4.44,1.23
1,2019-10-23,ORL,H,CLE,W,94,85,95.2,86.1,98.7,0.221,0.349,0.498,46.0,64.9,12.2,7.4,0.483,12.1,13.7,0.128,0.426,14.5,79.6,0.114,1.0,0.0,1.2,4.92
1,2019-10-23,BOS,A,PHI,L,93,107,91.4,105.2,101.8,0.378,0.289,0.443,39.8,54.5,3.9,3.6,0.406,8.7,16.7,0.222,0.476,12.9,72.1,0.306,0.0,1.0,3.01,1.42
1,2019-10-23,DEN,A,POR,W,108,100,108.1,100.1,99.9,0.333,0.395,0.581,48.4,70.6,11.0,6.8,0.531,17.0,23.9,0.272,0.454,17.1,72.3,0.241,1.0,0.0,1.84,2.02
