G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2021-10-19,GSW,A,LAL,W,121,114,107.3,101.1,112.8,0.323,0.419,0.57,52.6,73.2,8.0,3.8,0.516,13.8,18.4,0.269,0.553,14.1,89.1,0.095,1.0,0.0,2.41,1.62
1,2021-10-19,LAL,H,GSW,L,114,121,101.1,107.3,112.8,0.2,0.442,0.551,47.4,46.7,6.2,7.4,0.553,14.1,10.9,0.095,0.516,13.8,81.6,0.269,0.0,1.0,1.62,2.41
1,2021-10-19,BRK,A,MIL,L,104,127,102.1,124.7,101.8,0.274,0.381,0.552,44.9,51.4,2.9,15.0,0.542,11.3,10.9,0.155,0.538,5.8,75.0,0.133,0.0,1.0,2.01,1.86
1,2021-10-19,MIL,H,BRK,W,127,104,124.7,102.1,101.8,0.171,0.429,0.562,55.1,52.1,7.9,17.3,0.538,5.8,25.0,0.133,0.542,11.3,89.1,0.155,1.0,0.0,1.86,2.01
1,2021-10-20,ORL,A,SAS,L,97,123,100.8,127.9,96.2,0.267,0.337,0.505,50.6,48.6,6.2,8.8,0.459,14.3,30.2,0.209,0.566,7.0,70.5,0.122,0.0,1.0,3.19,1.38
1,2021-10-20,CLE,A,MEM,L,121,132,119.7,130.6,101.1,0.194,0.409,0.599,40.4,80.9,5.9,7.5,0.581,9.0,14.9,0.14,0.6,8.7,69.0,0.12,0.0,1.0,3.48,1.34
1,2021-10-20,SAS,H,ORL,W,123,97,127.9,100.8,96.2,0.184,0.306,0.581,49.4,65.3,8.3,5.3,0.566,7.0,29.5,0.122,0.459,14.3,69.8,0.209,1.0,0.0,1.38,3.19
1,2021-10-20,CHO,H,IND,W,123,122,113.2,112.2,108.7,0.252,0.29,0.517,47.4,63.0,8.3,11.6,0.491,6.3,21.8,0.168,0.561,13.7,81.0,0.233,1.0,0.0,1.97,1.9
1,2021-10-20,MIN,H,HOU,W,124,106,118.3,101.1,104.8,0.356,0.437,0.616,52.9,61.9,17.2,21.8,0.575,15.2,31.0,0.276,0.517,19.7,73.3,0.17,1.0,0.0,1.42,3.02
1,2021-10-20,MEM,H,CLE,W,132,121,130.6,119.7,101.1,0.12,0.33,0.627,59.6,52.8,7.9,14.5,0.6,8.7,31.0,0.12,0.581,9.0,85.1,0.14,1.0,0.0,1.34,3.48
1,2021-10-20,NOP,H,PHI,L,97,117,98.6,119.0,98.3,0.097,0.323,0.5,48.4,71.8,5.1,10.0,0.489,11.8,19.6,0.065,0.594,11.3,85.0,0.188,0.0,1.0,2.38,1.63
1,2021-10-20,NYK,H,BOS,W,138,134,110.0,106.8,103.9,0.257,0.429,0.59,49.5,52.9,7.2,16.7,0.567,12.7,14.6,0.181,0.5,12.4,76.2,0.145,1.0,0.0,1.74,2.17
1,2021-10-20,CHI,A,DET,W,94,88,95.4,89.3,98.5,0.174,0.267,0.508,50.5,48.6,8.1,8.1,0.471,15.5,20.0,0.151,0.433,14.3,78.0,0.111,1.0,0.0,1.52,2.68
1,2021-10-20,OKC,A,UTA,L,86,107,91.0,113.3,94.5,0.198,0.385,0.435,48.5,55.9,4.2,4.5,0.412,12.4,26.8,0.121,0.516,9.3,74.5,0.143,0.0,1.0,8.06,1.1
1,2021-10-20,UTA,H,OKC,W,107,86,113.3,91.0,94.5,0.165,0.516,0.548,51.5,45.0,6.4,8.9,0.516,9.3,25.5,0.143,0.412,12.4,73.2,0.121,1.0,0.0,1.1,8.06
1,2021-10-20,PHI,A,NOP,W,117,97,119.0,98.6,98.3,0.235,0.294,0.624,51.6,54.5,9.2,7.9,0.594,11.3,15.0,0.188,0.489,11.8,80.4,0.065,1.0,0.0,1.63,2.38
1,2021-10-20,IND,A,CHO,L,122,123,112.2,113.2,108.7,0.267,0.522,0.607,52.6,69.0,1.8,13.2,0.561,13.7,19.0,0.233,0.491,6.3,78.2,0.168,0.0,1.0,1.9,1.97
