G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2017-10-17,CLE,H,BOS,W,102,99,102.7,99.7,99.3,0.301,0.265,0.543,52.1,50.0,3.0,7.1,0.488,15.3,19.6,0.253,0.455,9.2,82.0,0.216,1.0,0.0,1.52,2.66
1,2017-10-17,BOS,A,CLE,L,99,102,99.7,102.7,99.3,0.284,0.364,0.5,47.9,66.7,11.1,6.6,0.455,9.2,18.0,0.216,0.488,15.3,80.4,0.253,0.0,1.0,2.66,1.52
1,2017-10-17,GSW,H,HOU,L,121,122,118.6,119.6,102.0,0.263,0.375,0.678,48.8,79.1,4.9,16.1,0.638,16.0,15.4,0.238,0.562,10.2,77.8,0.134,0.0,1.0,1.22,4.54
1,2017-10-17,HOU,A,GSW,W,122,121,119.6,118.6,102.0,0.196,0.423,0.579,51.2,59.6,8.8,10.0,0.562,10.2,22.2,0.134,0.638,16.0,84.6,0.238,1.0,0.0,4.54,1.22
1,2017-10-18,ATL,A,DAL,W,117,111,118.7,112.6,98.6,0.16,0.191,0.582,54.9,41.7,11.2,14.6,0.559,11.4,30.4,0.128,0.541,13.6,80.0,0.209,1.0,0.0,2.83,1.46
1,2017-10-18,MIN,A,SAS,L,99,107,104.8,113.3,94.5,0.271,0.224,0.52,45.7,62.2,7.4,5.9,0.482,12.0,22.4,0.2,0.506,10.2,72.1,0.191,0.0,1.0,2.0,1.85
1,2017-10-18,PHO,H,POR,L,76,124,77.0,125.6,98.7,0.202,0.303,0.392,36.7,35.7,9.1,12.1,0.354,14.2,19.2,0.146,0.567,13.5,60.5,0.244,0.0,1.0,2.09,1.79
2,2017-10-18,BOS,H,MIL,L,100,108,102.2,110.4,97.9,0.231,0.308,0.499,48.9,59.0,12.3,3.6,0.489,10.7,22.0,0.121,0.546,14.4,84.2,0.329,0.0,1.0,1.78,2.11
1,2017-10-18,MIL,A,BOS,W,108,100,110.4,102.2,97.9,0.395,0.276,0.605,51.1,50.0,6.1,6.3,0.546,14.4,15.8,0.329,0.489,10.7,78.0,0.121,1.0,0.0,2.11,1.78
1,2017-10-18,MIA,A,ORL,L,109,116,103.6,110.3,105.2,0.168,0.297,0.502,46.8,61.4,5.7,5.8,0.475,10.7,22.0,0.129,0.522,12.0,75.0,0.244,0.0,1.0,1.6,2.43
1,2017-10-18,POR,A,PHO,W,124,76,125.6,77.0,98.7,0.311,0.267,0.606,63.3,50.0,8.1,11.3,0.567,13.5,39.5,0.244,0.354,14.2,80.8,0.146,1.0,0.0,1.79,2.09
1,2017-10-18,MEM,H,NOP,W,103,91,110.4,97.6,93.3,0.304,0.315,0.494,46.9,48.7,9.6,14.8,0.473,9.5,30.0,0.174,0.424,15.6,65.2,0.304,1.0,0.0,1.77,2.12
1,2017-10-18,SAC,H,HOU,L,100,105,103.9,109.1,96.3,0.114,0.261,0.541,48.8,45.2,5.2,10.5,0.523,15.5,22.0,0.091,0.47,12.8,73.3,0.325,0.0,2.0,3.36,1.35
1,2017-10-18,IND,H,BRK,W,140,131,123.6,115.7,113.3,0.314,0.333,0.603,52.2,54.7,10.6,14.1,0.564,10.8,30.4,0.245,0.543,15.6,75.0,0.309,1.0,0.0,1.65,2.32
1,2017-10-18,NOP,A,MEM,L,91,103,97.6,110.4,93.3,0.367,0.316,0.496,53.1,50.0,4.3,19.0,0.424,15.6,34.8,0.304,0.473,9.5,70.0,0.174,0.0,1.0,2.12,1.77
2,2017-10-18,HOU,A,SAC,W,105,100,109.1,103.9,96.3,0.349,0.542,0.548,51.2,57.6,7.3,4.6,0.47,12.8,26.7,0.325,0.523,15.5,78.0,0.091,2.0,0.0,1.35,3.36
1,2017-10-18,SAS,H,MIN,W,107,99,113.3,104.8,94.5,0.213,0.236,0.55,54.3,53.7,8.5,16.7,0.506,10.2,27.9,0.191,0.482,12.0,77.6,0.2,1.0,0.0,1.85,2.0
