G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2011-12-25,BOS,A,NYK,L,104,106,111.6,113.7,93.2,0.408,0.066,0.58,56.9,71.8,7.5,9.3,0.526,16.7,36.1,0.316,0.534,15.2,77.8,0.365,0.0,1.0,2.63,1.51
1,2011-12-25,DAL,H,MIA,L,94,105,94.7,105.7,99.3,0.366,0.341,0.494,37.8,74.2,10.1,0.0,0.433,15.2,18.2,0.28,0.513,19.0,60.5,0.321,0.0,1.0,2.68,1.49
1,2011-12-25,NYK,H,BOS,W,106,104,113.7,111.6,93.2,0.459,0.27,0.596,43.1,48.6,9.7,15.5,0.534,15.2,22.2,0.365,0.526,16.7,63.9,0.316,1.0,0.0,1.51,2.63
1,2011-12-25,GSW,H,LAC,L,86,105,95.3,116.3,90.3,0.293,0.256,0.465,52.7,53.1,4.4,13.8,0.421,14.7,36.2,0.207,0.506,9.3,70.5,0.284,0.0,1.0,2.76,1.47
1,2011-12-25,OKC,H,ORL,W,97,89,104.8,96.2,92.5,0.361,0.264,0.581,48.9,61.8,8.6,9.4,0.542,16.1,18.4,0.264,0.42,16.3,72.0,0.259,1.0,0.0,1.28,3.84
1,2011-12-25,ORL,A,OKC,L,89,97,96.2,104.8,92.5,0.321,0.346,0.481,51.1,60.0,7.6,7.5,0.42,16.3,28.0,0.259,0.542,16.1,81.6,0.264,0.0,1.0,3.84,1.28
1,2011-12-25,LAL,H,CHI,L,87,88,98.9,100.0,88.0,0.263,0.211,0.513,50.6,61.1,6.8,10.8,0.5,16.7,32.4,0.145,0.444,12.8,65.2,0.101,0.0,1.0,2.66,1.5
1,2011-12-25,MIA,A,DAL,W,105,94,105.7,94.7,99.3,0.462,0.09,0.559,62.2,47.4,9.1,11.1,0.513,19.0,39.5,0.321,0.433,15.2,81.8,0.28,1.0,0.0,1.49,2.68
1,2011-12-25,LAC,A,GSW,W,105,86,116.3,95.3,90.3,0.469,0.284,0.537,47.3,59.5,10.0,13.1,0.506,9.3,29.5,0.284,0.421,14.7,63.8,0.207,1.0,0.0,1.47,2.76
1,2011-12-25,CHI,A,LAL,W,88,87,100.0,98.9,88.0,0.157,0.169,0.462,49.4,58.3,15.9,6.7,0.444,12.8,34.8,0.101,0.5,16.7,67.6,0.145,1.0,0.0,1.5,2.66
2,2011-12-26,ORL,H,HOU,W,104,95,117.8,107.6,88.3,0.12,0.265,0.595,46.1,43.2,1.1,7.3,0.584,11.2,16.7,0.084,0.476,9.0,72.5,0.207,1.0,0.0,1.38,3.14
1,2011-12-26,MIL,A,CHA,L,95,96,100.3,101.4,94.7,0.274,0.274,0.505,42.9,61.8,6.3,3.0,0.452,11.3,17.8,0.226,0.465,14.4,67.4,0.186,0.0,1.0,1.55,2.54
2,2011-12-26,OKC,A,MIN,W,104,100,106.4,102.3,97.7,0.397,0.205,0.567,51.2,51.4,6.1,7.7,0.481,15.6,21.1,0.372,0.466,10.9,77.3,0.218,2.0,0.0,1.43,2.89
1,2011-12-26,CHA,H,MIL,W,96,95,101.4,100.3,94.7,0.244,0.221,0.504,57.1,71.1,3.2,9.8,0.465,14.4,32.6,0.186,0.452,11.3,82.2,0.226,1.0,0.0,2.54,1.55
1,2011-12-26,MIN,H,OKC,L,100,104,102.3,106.4,97.7,0.299,0.253,0.508,48.8,56.4,4.1,3.2,0.466,10.9,22.7,0.218,0.481,15.6,78.9,0.372,0.0,2.0,2.89,1.43
1,2011-12-26,WAS,H,NJN,L,84,90,93.6,100.3,89.7,0.459,0.095,0.472,40.2,41.9,8.9,11.7,0.426,11.0,16.7,0.284,0.43,13.7,63.3,0.186,0.0,1.0,1.6,2.4
1,2011-12-26,NOH,A,PHO,W,85,84,96.0,94.9,88.5,0.266,0.203,0.482,51.1,28.6,10.2,8.9,0.456,12.8,26.7,0.165,0.426,13.5,74.5,0.185,1.0,0.0,3.18,1.38
1,2011-12-26,NJN,A,WAS,W,90,84,100.3,93.6,89.7,0.233,0.302,0.475,59.8,50.0,7.8,4.5,0.43,13.7,36.7,0.186,0.426,11.0,83.3,0.284,1.0,0.0,2.4,1.6
2,2011-12-26,CHI,A,GSW,L,91,99,98.0,106.6,92.9,0.268,0.293,0.496,56.6,47.1,3.2,4.8,0.463,17.9,32.6,0.183,0.494,9.9,82.5,0.299,1.0,1.0,1.34,3.42
1,2011-12-26,MEM,A,SAS,L,82,95,87.1,100.9,94.1,0.26,0.096,0.504,53.2,52.9,9.6,3.6,0.486,22.8,26.5,0.151,0.455,11.7,73.3,0.17,0.0,1.0,2.79,1.46
1,2011-12-26,SAC,H,LAL,W,100,91,113.2,103.0,88.3,0.467,0.24,0.553,47.1,45.7,4.5,8.3,0.527,10.8,25.6,0.28,0.426,10.2,65.2,0.182,1.0,0.0,2.31,1.65
1,2011-12-26,SAS,H,MEM,W,95,82,100.9,87.1,94.1,0.25,0.375,0.486,46.8,65.7,13.8,7.6,0.455,11.7,26.7,0.17,0.486,22.8,73.5,0.151,1.0,0.0,1.46,2.79
1,2011-12-26,HOU,A,ORL,L,95,104,107.6,117.8,88.3,0.244,0.329,0.523,53.9,72.2,4.5,8.2,0.476,9.0,27.5,0.207,0.584,11.2,83.3,0.084,0.0,1.0,3.14,1.38
2,2011-12-26,GSW,H,CHI,W,99,91,106.6,98.0,92.9,0.403,0.195,0.546,43.4,61.1,17.2,8.6,0.494,9.9,17.5,0.299,0.463,17.9,67.4,0.183,1.0,1.0,3.42,1.34
1,2011-12-26,DET,A,IND,L,79,91,90.7,104.4,87.1,0.28,0.253,0.469,43.0,63.0,5.7,11.1,0.407,16.0,20.5,0.24,0.408,9.3,63.3,0.23,0.0,1.0,4.06,1.25
