G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2020-12-22,BRK,H,GSW,W,125,99,113.1,89.6,110.5,0.348,0.38,0.589,54.8,57.1,10.0,10.6,0.538,15.9,27.7,0.283,0.424,14.2,77.2,0.152,1.0,0.0,1.32,3.54
1,2020-12-22,LAL,H,LAC,L,109,116,105.3,112.1,103.5,0.383,0.358,0.576,52.9,57.9,3.9,3.8,0.525,16.7,21.6,0.296,0.548,13.6,77.1,0.151,0.0,1.0,1.74,2.16
1,2020-12-22,LAC,A,LAL,W,116,109,112.1,105.3,103.5,0.204,0.43,0.572,47.1,50.0,9.7,5.8,0.548,13.6,22.9,0.151,0.525,16.7,78.4,0.296,1.0,0.0,2.16,1.74
1,2020-12-22,GSW,A,BRK,L,99,125,89.6,113.1,110.5,0.232,0.333,0.454,45.2,70.3,5.4,10.5,0.424,14.2,22.8,0.152,0.538,15.9,72.3,0.283,0.0,1.0,3.54,1.32
1,2020-12-23,ATL,A,CHI,W,124,104,119.4,100.1,103.9,0.363,0.438,0.668,55.4,55.8,5.8,5.8,0.625,18.5,21.6,0.3,0.46,13.1,82.6,0.276,1.0,0.0,1.8,2.06
1,2020-12-23,UTA,A,POR,W,120,100,122.1,101.8,98.3,0.202,0.532,0.586,59.6,55.8,3.1,5.1,0.559,9.7,26.1,0.16,0.467,5.7,88.7,0.152,1.0,0.0,1.81,2.05
1,2020-12-23,CHI,H,ATL,L,104,124,100.1,119.4,103.9,0.322,0.402,0.524,44.6,55.6,9.6,6.7,0.46,13.1,17.4,0.276,0.625,18.5,78.4,0.3,0.0,1.0,2.06,1.8
1,2020-12-23,CHO,A,CLE,L,114,121,112.3,119.2,101.5,0.167,0.489,0.59,39.0,64.4,9.8,7.0,0.589,13.4,16.7,0.089,0.609,15.8,70.6,0.172,0.0,1.0,1.66,2.29
1,2020-12-23,TOR,H,NOP,L,99,113,95.2,108.6,104.0,0.135,0.517,0.525,43.8,68.4,9.6,13.2,0.506,17.5,15.9,0.101,0.644,21.3,77.8,0.125,0.0,1.0,1.6,2.41
1,2020-12-23,CLE,H,CHO,W,121,114,119.2,112.3,101.5,0.23,0.345,0.632,61.0,73.9,11.8,6.5,0.609,15.8,29.4,0.172,0.589,13.4,83.3,0.089,1.0,0.0,2.29,1.66
1,2020-12-23,SAS,A,MEM,W,131,119,121.6,110.5,107.7,0.305,0.263,0.608,53.3,58.3,7.4,11.8,0.558,8.5,17.8,0.263,0.568,9.7,88.9,0.116,1.0,0.0,2.09,1.77
1,2020-12-23,DAL,A,PHO,L,102,106,101.5,105.5,100.4,0.306,0.435,0.529,44.8,47.2,6.0,0.0,0.476,10.2,12.5,0.247,0.551,16.5,84.6,0.241,0.0,1.0,2.01,1.84
