G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2018-10-16,BOS,H,PHI,W,105,87,100.7,83.4,104.3,0.144,0.381,0.509,53.9,50.0,6.7,8.2,0.49,11.9,22.6,0.103,0.42,14.1,87.8,0.161,1.0,0.0,1.47,2.78
1,2018-10-16,GSW,H,OKC,W,108,100,105.6,97.7,102.3,0.189,0.274,0.525,56.3,66.7,6.8,13.0,0.479,16.9,37.0,0.179,0.418,11.5,71.9,0.264,1.0,0.0,1.09,8.53
1,2018-10-16,OKC,A,GSW,L,100,108,97.7,105.6,102.3,0.407,0.407,0.466,43.7,63.6,11.7,8.7,0.418,11.5,28.1,0.264,0.479,16.9,63.0,0.179,0.0,1.0,8.53,1.09
1,2018-10-16,PHI,A,BOS,L,87,105,83.4,100.7,104.3,0.264,0.299,0.448,46.1,52.9,7.7,8.3,0.42,14.1,12.2,0.161,0.49,11.9,77.4,0.103,0.0,1.0,2.78,1.47
1,2018-10-17,BRK,A,DET,L,100,103,100.0,103.0,100.0,0.268,0.329,0.545,45.9,70.0,9.0,7.4,0.518,15.6,13.5,0.183,0.457,12.1,70.8,0.207,0.0,1.0,3.1,1.4
1,2018-10-17,TOR,H,CLE,W,116,104,115.6,103.7,100.3,0.217,0.359,0.575,46.7,46.7,6.0,10.6,0.565,8.2,18.6,0.13,0.441,13.5,71.4,0.341,1.0,0.0,1.08,8.89
1,2018-10-17,SAS,H,MIN,W,112,108,116.8,112.7,95.8,0.312,0.269,0.53,53.1,55.0,3.1,5.6,0.489,10.2,37.3,0.226,0.462,9.7,70.2,0.264,1.0,0.0,1.7,2.22
1,2018-10-17,CHO,H,MIL,L,112,113,109.2,110.2,102.6,0.239,0.413,0.551,41.8,51.2,7.8,17.6,0.533,9.8,16.4,0.152,0.576,18.3,74.4,0.176,0.0,1.0,2.39,1.62
1,2018-10-17,SAC,H,UTA,L,117,123,110.7,116.4,105.7,0.189,0.2,0.568,45.7,34.7,7.6,5.8,0.553,8.0,11.4,0.126,0.601,15.1,86.5,0.354,0.0,1.0,4.24,1.25
1,2018-10-17,CLE,A,TOR,L,104,116,103.7,115.6,100.3,0.459,0.224,0.509,53.3,50.0,4.0,0.0,0.441,13.5,28.6,0.341,0.565,8.2,81.4,0.13,0.0,1.0,8.89,1.08
1,2018-10-17,PHO,H,DAL,W,121,100,130.6,108.0,92.6,0.198,0.42,0.687,53.7,79.5,5.4,3.6,0.66,11.1,17.6,0.173,0.489,8.5,79.2,0.159,1.0,0.0,2.19,1.73
1,2018-10-17,DAL,A,PHO,L,100,121,108.0,130.6,92.6,0.227,0.375,0.517,46.3,73.7,7.6,10.6,0.489,8.5,20.8,0.159,0.66,11.1,82.4,0.173,0.0,1.0,1.73,2.19
1,2018-10-17,DEN,A,LAC,W,107,98,108.2,99.1,98.9,0.483,0.276,0.507,54.4,60.6,6.1,15.0,0.425,8.7,26.9,0.379,0.443,10.9,82.4,0.227,1.0,0.0,1.77,2.12
1,2018-10-17,ATL,A,NYK,L,107,126,94.3,111.0,113.5,0.2,0.4,0.546,49.5,46.3,6.2,4.5,0.511,19.7,16.3,0.167,0.515,11.8,79.2,0.242,0.0,1.0,2.41,1.61
1,2018-10-17,DET,H,BRK,W,103,100,103.0,100.0,100.0,0.239,0.261,0.506,54.1,53.8,5.0,9.1,0.457,12.1,29.2,0.207,0.518,15.6,86.5,0.183,1.0,0.0,1.4,3.1
1,2018-10-17,NYK,H,ATL,W,126,107,111.0,94.3,113.5,0.313,0.333,0.559,50.5,46.7,10.6,11.1,0.515,11.8,20.8,0.242,0.511,19.7,83.7,0.167,1.0,0.0,1.61,2.41
1,2018-10-17,NOP,A,HOU,W,131,112,127.2,108.8,103.0,0.224,0.255,0.608,59.3,69.2,7.8,6.8,0.582,10.0,32.6,0.173,0.511,9.7,83.3,0.196,1.0,0.0,3.87,1.28
1,2018-10-17,HOU,H,NOP,L,112,131,108.8,127.2,103.0,0.261,0.522,0.546,40.7,53.8,7.8,9.6,0.511,9.7,16.7,0.196,0.582,10.0,67.4,0.173,0.0,1.0,1.28,3.87
1,2018-10-17,MIN,A,SAS,L,108,112,112.7,116.8,95.8,0.297,0.209,0.525,46.9,51.3,9.4,2.9,0.462,9.7,29.8,0.264,0.489,10.2,62.7,0.226,0.0,1.0,2.22,1.7
1,2018-10-17,IND,H,MEM,W,111,83,118.7,88.8,93.5,0.157,0.313,0.626,67.1,61.7,2.1,12.7,0.627,18.4,38.2,0.084,0.357,6.8,86.3,0.274,1.0,0.0,1.33,3.47
1,2018-10-17,MIL,A,CHO,W,113,112,110.2,109.2,102.6,0.235,0.4,0.602,58.2,61.9,4.9,7.4,0.576,18.3,25.6,0.176,0.533,9.8,83.6,0.152,1.0,0.0,1.62,2.39
1,2018-10-17,LAC,H,DEN,L,98,107,99.1,108.2,98.9,0.273,0.318,0.497,45.6,60.0,3.0,14.3,0.443,10.9,17.6,0.227,0.425,8.7,73.1,0.379,0.0,1.0,2.12,1.77
1,2018-10-17,MIA,A,ORL,L,101,104,97.6,100.5,103.5,0.227,0.34,0.473,50.5,42.1,3.9,7.2,0.438,13.0,27.5,0.165,0.452,10.0,73.1,0.202,0.0,1.0,1.75,2.15
1,2018-10-17,UTA,A,SAC,W,123,117,116.4,110.7,105.7,0.481,0.342,0.642,54.3,51.2,7.6,5.3,0.601,15.1,13.5,0.354,0.553,8.0,88.6,0.126,1.0,0.0,1.25,4.24
1,2018-10-17,ORL,H,MIA,W,104,101,100.5,97.6,103.5,0.33,0.266,0.483,49.5,51.3,6.8,10.9,0.452,10.0,26.9,0.202,0.438,13.0,72.5,0.165,1.0,0.0,2.15,1.75
1,2018-10-17,MEM,A,IND,L,83,111,88.8,118.7,93.5,0.333,0.345,0.431,32.9,64.0,11.8,5.3,0.357,6.8,13.7,0.274,0.627,18.4,61.8,0.084,0.0,1.0,3.47,1.33
1,2018-10-18,LAL,A,POR,L,119,128,107.0,115.1,111.3,0.312,0.323,0.563,46.0,51.1,9.0,9.5,0.522,12.4,16.7,0.237,0.505,12.4,73.1,0.27,0.0,1.0,2.3,1.67
2,2018-10-18,MIA,A,WAS,W,113,112,110.8,109.9,101.9,0.351,0.361,0.505,57.9,65.8,5.9,9.1,0.454,12.5,40.0,0.258,0.512,12.5,82.5,0.358,1.0,0.0,3.06,1.4
1,2018-10-18,WAS,H,MIA,L,112,113,109.9,110.8,101.9,0.481,0.321,0.57,42.1,50.0,6.9,24.2,0.512,12.5,17.5,0.358,0.454,12.5,60.0,0.258,0.0,1.0,1.4,3.06
1,2018-10-18,CHI,A,PHI,L,108,127,99.6,117.2,108.4,0.119,0.327,0.508,41.5,63.6,3.7,10.5,0.49,10.1,10.2,0.089,0.538,10.9,75.6,0.29,0.0,1.0,7.93,1.1
2,2018-10-18,PHI,H,CHI,W,127,108,117.2,99.6,108.4,0.323,0.387,0.598,58.5,68.2,9.2,11.8,0.538,10.9,24.4,0.29,0.49,10.1,89.8,0.089,1.0,0.0,1.1,7.93
