G,Date,Team,H/A,Opp,W/L,TM,OP,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,OeFG%,OTOV%,ODRB%,OFT/FGA,W/L_Ratio,Opp_W/L_ratio,TeamsOdds,OppOdds
1,2012-10-30,MIA,H,BOS,W,120,107,127.0,113.2,94.5,0.405,0.203,0.645,46.8,58.1,8.5,8.1,0.595,7.9,12.8,0.329,0.56,14.7,81.6,0.307,1.0,0.0,1.34,3.4
1,2012-10-30,CLE,H,WAS,W,94,84,106.9,95.5,87.9,0.278,0.253,0.53,58.1,61.1,8.0,8.6,0.5,18.4,46.2,0.19,0.4,10.8,66.7,0.133,1.0,0.0,1.42,2.99
1,2012-10-30,DAL,A,LAL,W,99,91,108.7,99.9,91.1,0.212,0.176,0.533,46.5,55.0,9.9,7.8,0.5,10.6,22.5,0.165,0.513,13.4,67.4,0.156,1.0,0.0,4.79,1.21
1,2012-10-30,LAL,H,DAL,L,91,99,99.9,108.7,91.1,0.403,0.169,0.502,53.5,63.2,6.6,7.1,0.513,13.4,32.6,0.156,0.5,10.6,77.5,0.165,0.0,1.0,1.21,4.79
1,2012-10-30,BOS,A,MIA,L,107,120,113.2,127.0,94.5,0.373,0.173,0.613,53.2,61.5,4.2,3.2,0.56,14.7,18.4,0.307,0.595,7.9,87.2,0.329,0.0,1.0,3.4,1.34
1,2012-10-30,WAS,A,CLE,L,84,94,95.5,106.9,87.9,0.222,0.356,0.425,41.9,81.3,12.5,16.9,0.4,10.8,33.3,0.133,0.5,18.4,53.8,0.19,0.0,1.0,2.99,1.42
2,2012-10-31,LAL,A,POR,L,106,116,113.1,123.7,93.8,0.444,0.25,0.616,60.0,58.3,6.4,3.2,0.556,21.8,42.9,0.361,0.56,11.2,75.0,0.277,0.0,1.0,1.71,2.2
1,2012-10-31,CHI,H,SAC,W,93,87,98.0,91.6,94.9,0.418,0.114,0.497,53.5,63.6,8.4,14.9,0.43,16.1,32.6,0.316,0.44,17.3,74.4,0.155,1.0,0.0,1.35,3.34
2,2012-10-31,DAL,A,UTA,L,94,113,93.6,112.5,100.5,0.306,0.259,0.487,39.6,62.5,8.0,6.7,0.441,14.2,16.3,0.224,0.461,11.5,61.5,0.348,1.0,1.0,4.29,1.24
1,2012-10-31,DEN,A,PHI,L,75,84,80.8,90.4,92.9,0.125,0.205,0.404,53.5,57.6,9.7,8.3,0.398,17.7,32.7,0.057,0.394,13.7,73.1,0.2,0.0,1.0,1.8,2.05
1,2012-10-31,DET,H,HOU,L,96,105,101.5,111.0,94.6,0.329,0.203,0.531,44.4,60.0,12.7,7.7,0.481,15.0,23.3,0.253,0.557,18.3,68.4,0.215,0.0,1.0,1.72,2.19
